"","x"
"645","MA_10435789g0020"
"646","MA_10432922g0010"
"647","MA_194736g0010"
"648","MA_102736g0010"
"649","MA_10433486g0010"
"650","MA_765915g0020"
"651","MA_108680g0010"
"652","MA_431374g0010"
"653","MA_475294g0010"
"654","MA_20589g0010"
"655","MA_4050g0010"
"656","MA_406287g0010"
"657","MA_436409g0020"
"658","MA_90472g0010"
"659","MA_82642g0010"
"660","MA_15713g0010"
"661","MA_779847g0010"
"662","MA_240390g0010"
"663","MA_262g0010"
"664","MA_10426600g0010"
"665","MA_10436424g0010"
"666","MA_180169g0010"
"667","MA_233898g0010"
"668","MA_51670g0010"
"669","MA_10436772g0010"
"670","MA_21695g0020"
"671","MA_10426546g0010"
"672","MA_44963g0010"
"673","MA_107783g0020"
"674","MA_6749g0010"
"675","MA_85383g0010"
"676","MA_10429159g0020"
"677","MA_119996g0010"
"678","MA_340147g0010"
"679","MA_41265g0010"
"680","MA_20442g0010"
"681","MA_7437g0010"
"682","MA_10435390g0010"
"683","MA_844497g0010"
"684","MA_55521g0010"
"685","MA_165913g0020"
"686","MA_10435302g0010"
"687","MA_10435332g0010"
"688","MA_841019g0010"
"689","MA_32711g0010"
"690","MA_169850g0030"
"691","MA_44557g0010"
"692","MA_164186g0010"
"693","MA_10436259g0020"
"694","MA_10426620g0010"
"695","MA_218203g0010"
"696","MA_960928g0010"
"697","MA_901449g0010"
"698","MA_8256450g0010"
"699","MA_187114g0010"
"700","MA_56313g0010"
"701","MA_53693g0010"
"702","MA_122418g0010"
"703","MA_10436358g0010"
"704","MA_3527g0010"
"705","MA_279755g0010"
"706","MA_2816g0010"
"707","MA_10435757g0010"
"708","MA_798143g0010"
"709","MA_10313526g0010"
"710","MA_103473g0010"
"711","MA_22426g0010"
"712","MA_72603g0010"
"713","MA_10429426g0010"
"714","MA_12086g0010"
"715","MA_113300g0020"
"716","MA_139514g0010"
"717","MA_20095g0010"
"718","MA_102436g0010"
"719","MA_197343g0010"
"720","MA_10429538g0010"
"721","MA_9999795g0010"
"722","MA_30848g0010"
"723","MA_20157g0010"
"724","MA_10433965g0010"
"725","MA_19101g0010"
"726","MA_10430700g0010"
"727","MA_10434954g0010"
"728","MA_118097g0010"
"729","MA_389505g0010"
"730","MA_85718g0010"
"731","MA_61879g0010"
"732","MA_11956g0010"
"733","MA_10253368g0010"
"734","MA_10435992g0010"
"735","MA_41212g0010"
"736","MA_96131g0010"
"737","MA_15346g0010"
"738","MA_19554g0010"
"739","MA_10433772g0010"
"740","MA_133015g0010"
"741","MA_55307g0010"
"742","MA_10314806g0020"
"743","MA_10189019g0010"
"744","MA_47866g0010"
"745","MA_110832g0010"
"746","MA_10197506g0010"
"747","MA_123309g0010"
"748","MA_18127g0010"
"749","MA_87389g0010"
"750","MA_3550g0020"
"751","MA_8499g0020"
"752","MA_795791g0010"
"753","MA_71280g0010"
"754","MA_6800g0010"
"755","MA_8038g0010"
"756","MA_10432316g0010"
"757","MA_10427438g0010"
"758","MA_10123705g0010"
"759","MA_879707g0010"
"760","MA_67538g0010"
"761","MA_623920g0010"
"762","MA_10268593g0010"
"763","MA_23426g0020"
"764","MA_49467g0010"
"765","MA_549126g0010"
"766","MA_160114g0010"
"767","MA_121739g0010"
"768","MA_6509g0020"
"769","MA_141046g0010"
"770","MA_87817g0010"
"771","MA_49815g0010"
"772","MA_172189g0020"
"773","MA_795555g0010"
"774","MA_47071g0010"
"775","MA_851934g0010"
"776","MA_929480g0010"
"777","MA_70859g0010"
"778","MA_10426113g0010"
"779","MA_10429565g0010"
"780","MA_261860g0010"
"781","MA_24323g0010"
"782","MA_482255g0010"
"783","MA_5981g0010"
"784","MA_655g0010"
"785","MA_90280g0010"
"786","MA_114638g0010"
"787","MA_15276g0010"
"788","MA_92610g0010"
"789","MA_10436584g0020"
"790","MA_10426703g0020"
"791","MA_2896391g0010"
"792","MA_3821g0010"
"793","MA_55437g0010"
"794","MA_734639g0010"
"795","MA_7850076g0010"
"796","MA_959793g0010"
"797","MA_97770g0010"
"798","MA_10425844g0010"
"799","MA_8874g0010"
"800","MA_10434709g0010"
"801","MA_38887g0010"
"802","MA_903132g0010"
"803","MA_22366g0010"
"804","MA_30958g0010"
"805","MA_567674g0010"
"806","MA_10436434g0010"
"807","MA_167313g0010"
"808","MA_953381g0010"
"809","MA_96703g0010"
"810","MA_10437148g0010"
"811","MA_630042g0010"
"812","MA_808776g0010"
"813","MA_9989604g0010"
"814","MA_10431839g0010"
"815","MA_12320g0010"
"816","MA_18506g0010"
"817","MA_10429212g0010"
"818","MA_19604g0010"
"819","MA_4447g0020"
"820","MA_10427036g0020"
"821","MA_10426350g0030"
"822","MA_14940g0020"
"823","MA_10435663g0010"
"824","MA_12652g0010"
"825","MA_72040g0010"
"826","MA_131998g0010"
"827","MA_193867g0010"
"828","MA_16801g0010"
"829","MA_10437217g0010"
"830","MA_89825g0010"
"831","MA_93046g0010"
"832","MA_10433704g0010"
"833","MA_10426833g0010"
"834","MA_34351g0010"
"835","MA_94565g0010"
"836","MA_79644g0020"
"837","MA_550035g0010"
"838","MA_5409604g0010"
"839","MA_10003489g0010"
"840","MA_10431835g0010"
"841","MA_106330g0010"
"842","MA_12191g0010"
"843","MA_18761g0010"
"844","MA_10430524g0020"
"845","MA_116011g0010"
"846","MA_16642g0010"
"847","MA_177186g0010"
"848","MA_8925g0010"
"849","MA_141465g0020"
"850","MA_10204459g0010"
"851","MA_184339g0010"
"852","MA_15053g0010"
"853","MA_10435615g0010"
"854","MA_10437098g0010"
"855","MA_8964512g0010"
"856","MA_10427367g0010"
"857","MA_10427289g0030"
"858","MA_92909g0010"
"859","MA_10435693g0020"
"860","MA_106428g0010"
"861","MA_10437136g0010"
"862","MA_13697g0010"
"863","MA_34530g0020"
"864","MA_8883177g0010"
"865","MA_10435034g0020"
"866","MA_10427683g0010"
"867","MA_10437077g0010"
"868","MA_10432112g0010"
"869","MA_177265g0010"
"870","MA_10433321g0010"
"871","MA_17847g0010"
"872","MA_40234g0010"
"873","MA_6348298g0010"
"874","MA_10436632g0010"
"875","MA_71412g0010"
"876","MA_10221168g0010"
"877","MA_539856g0010"
"878","MA_135963g0010"
"879","MA_94192g0010"
"880","MA_74101g0010"
"881","MA_9825122g0010"
"882","MA_90279g0010"
"883","MA_872442g0010"
"884","MA_126866g0010"
"885","MA_19947g0030"
"886","MA_18947g0010"
"887","MA_8730127g0010"
"888","MA_55073g0010"
"889","MA_101160g0010"
"890","MA_141996g0010"
"891","MA_10428715g0010"
"892","MA_10428855g0010"
"893","MA_10429889g0010"
"894","MA_439703g0010"
"895","MA_501670g0010"
"896","MA_64618g0010"
"897","MA_7990944g0010"
"898","MA_8788g0010"
"899","MA_136139g0010"
"900","MA_66695g0010"
"901","MA_93674g0010"
"902","MA_175589g0010"
"903","MA_111840g0010"
"904","MA_186639g0010"
"905","MA_328490g0010"
"906","MA_103595g0010"
"907","MA_13545g0020"
"908","MA_3312g0010"
"909","MA_422840g0010"
"910","MA_8574230g0010"
"911","MA_10392111g0010"
"912","MA_14663g0020"
"913","MA_159115g0010"
"914","MA_10427237g0010"
"915","MA_10433403g0010"
"916","MA_106977g0010"
"917","MA_506872g0010"
"918","MA_50111g0020"
"919","MA_10250077g0010"
"920","MA_10290598g0010"
"921","MA_20701g0010"
"922","MA_76964g0020"
"923","MA_15468g0010"
"924","MA_10427759g0010"
"925","MA_1482g0010"
"926","MA_498754g0010"
"927","MA_79741g0010"
"928","MA_10429697g0010"
"929","MA_1354983g0010"
"930","MA_101119g0010"
"931","MA_5382g0020"
"932","MA_241806g0010"
"933","MA_39549g0010"
"934","MA_87104g0010"
"935","MA_8575380g0010"
"936","MA_6968453g0010"
"937","MA_10435479g0040"
"938","MA_10427630g0010"
"939","MA_766954g0010"
"940","MA_98656g0010"
"941","MA_77742g0010"
"942","MA_23931g0010"
"943","MA_197296g0010"
"944","MA_102655g0010"
"945","MA_10431834g0010"
"946","MA_120230g0010"
"947","MA_479054g0010"
"948","MA_111431g0010"
"949","MA_128137g0010"
"950","MA_42239g0010"
"951","MA_172626g0020"
"952","MA_25307g0030"
"953","MA_73048g0010"
"954","MA_10437138g0030"
"955","MA_72003g0010"
"956","MA_230579g0010"
"957","MA_10428376g0010"
"958","MA_10435382g0010"
"959","MA_422939g0010"
"960","MA_9304g0020"
"961","MA_556882g0010"
"962","MA_84666g0010"
"963","MA_12059g0010"
"964","MA_10431627g0010"
"965","MA_43688g0010"
"966","MA_54876g0010"
"967","MA_10431705g0020"
"968","MA_10433142g0010"
"969","MA_115261g0010"
"970","MA_135861g0010"
"971","MA_101443g0010"
"972","MA_10427170g0020"
"973","MA_9937883g0010"
"974","MA_102307g0010"
"975","MA_140220g0010"
"976","MA_134938g0010"
"977","MA_10437080g0010"
"978","MA_103261g0010"
"979","MA_408691g0010"
"980","MA_656884g0010"
"981","MA_881825g0010"
"982","MA_894609g0010"
"983","MA_191372g0010"
"984","MA_9416g0010"
"985","MA_10428143g0010"
"986","MA_10426084g0030"
"987","MA_6141g0010"
"988","MA_21354g0020"
"989","MA_111910g0010"
"990","MA_112899g0010"
"991","MA_29790g0010"
"992","MA_10426928g0010"
"993","MA_109054g0010"
"994","MA_162433g0010"
"995","MA_106343g0010"
"996","MA_4912g0010"
"997","MA_5246g0010"
"998","MA_15237g0010"
"999","MA_3844g0010"
"1000","MA_84856g0010"
"1001","MA_10358489g0010"
"1002","MA_92878g0010"
"1003","MA_420849g0010"
"1004","MA_116230g0020"
"1005","MA_16148g0010"
"1006","MA_8134125g0010"
"1007","MA_91272g0010"
"1008","MA_15820g0010"
"1009","MA_9959066g0010"
"1010","MA_20072g0010"
"1011","MA_90831g0010"
"1012","MA_10428446g0010"
"1013","MA_335111g0010"
"1014","MA_140464g0010"
"1015","MA_91680g0010"
"1016","MA_13557g0010"
"1017","MA_10430187g0010"
"1018","MA_10430086g0010"
"1019","MA_728885g0010"
"1020","MA_909878g0010"
"1021","MA_37329g0010"
"1022","MA_87590g0010"
"1023","MA_4169462g0010"
"1024","MA_74823g0010"
"1025","MA_1521g0010"
"1026","MA_10432550g0010"
"1027","MA_10393795g0020"
"1028","MA_100820g0010"
"1029","MA_124714g0010"
"1030","MA_18240g0010"
"1031","MA_4505582g0010"
"1032","MA_10427223g0010"
"1033","MA_37766g0010"
"1034","MA_90447g0010"
"1035","MA_10433987g0010"
"1036","MA_167676g0010"
"1037","MA_53301g0010"
"1038","MA_10431424g0010"
"1039","MA_10382711g0010"
"1040","MA_10436924g0010"
"1041","MA_8158178g0010"
"1042","MA_18382g0010"
"1043","MA_10426246g0010"
"1044","MA_298729g0010"
"1045","MA_10432521g0010"
"1046","MA_10430106g0010"
"1047","MA_10433804g0010"
